,Dataset,Task,Region,Predicted vs. Observed Evoked Responses
67,MDTB,ActionObservation,7Networks_RH_Default_Temp_3,0.2195467676937796
68,MDTB,ActionObservation,7Networks_RH_Default_pCunPCC_1,0.13012601662357973
69,MDTB,ActionObservation,7Networks_RH_Default_pCunPCC_2,0.08339910637284569
70,MDTB,ActionObservation,7Networks_RH_DorsAttn_FEF_1,0.15983201139410053
71,MDTB,ActionObservation,7Networks_RH_DorsAttn_Post_1,0.24689333683640177
72,MDTB,ActionObservation,7Networks_RH_DorsAttn_Post_2,0.18435109864949992
73,MDTB,ActionObservation,7Networks_RH_DorsAttn_Post_3,0.1997082192586119
74,MDTB,ActionObservation,7Networks_RH_DorsAttn_Post_4,0.34466531880378437
75,MDTB,ActionObservation,7Networks_RH_DorsAttn_Post_5,0.31176358881302796
76,MDTB,ActionObservation,7Networks_RH_DorsAttn_PrCv_1,0.29513868489645173
77,MDTB,ActionObservation,7Networks_RH_Limbic_OFC_1,0.05927952472983701
78,MDTB,ActionObservation,7Networks_RH_Limbic_TempPole_1,0.057658711999013346
79,MDTB,ActionObservation,7Networks_RH_SalVentAttn_FrOperIns_1,0.30492027379700887
80,MDTB,ActionObservation,7Networks_RH_SalVentAttn_Med_1,0.3126706818321147
81,MDTB,ActionObservation,7Networks_RH_SalVentAttn_Med_2,0.2170182813800255
82,MDTB,ActionObservation,7Networks_RH_SalVentAttn_TempOccPar_1,0.23226191326914178
83,MDTB,ActionObservation,7Networks_RH_SalVentAttn_TempOccPar_2,0.26686356297529545
84,MDTB,ActionObservation,7Networks_RH_SomMot_1,0.2450883407633292
85,MDTB,ActionObservation,7Networks_RH_SomMot_2,0.08819218393224271
86,MDTB,ActionObservation,7Networks_RH_SomMot_3,0.10946908600275503
87,MDTB,ActionObservation,7Networks_RH_SomMot_4,0.16873446026511188
88,MDTB,ActionObservation,7Networks_RH_SomMot_5,0.13699212612613984
89,MDTB,ActionObservation,7Networks_RH_SomMot_6,-0.07327434352352882
90,MDTB,ActionObservation,7Networks_RH_SomMot_7,0.20741994538156727
91,MDTB,ActionObservation,7Networks_RH_SomMot_8,0.16137125134225844
92,MDTB,ActionObservation,7Networks_RH_Vis_1,0.3041614728387791
93,MDTB,ActionObservation,7Networks_RH_Vis_2,0.4968222260637904
94,MDTB,ActionObservation,7Networks_RH_Vis_3,0.46264393109884994
95,MDTB,ActionObservation,7Networks_RH_Vis_4,0.5352387115706341
96,MDTB,ActionObservation,7Networks_RH_Vis_5,0.4504603358894218
97,MDTB,ActionObservation,7Networks_RH_Vis_6,0.2041117750027176
98,MDTB,ActionObservation,7Networks_RH_Vis_7,0.4713677809101604
99,MDTB,ActionObservation,7Networks_RH_Vis_8,0.49584087857839926
100,MDTB,ActionObservation,Caudate,0.09443958094459244
101,MDTB,ActionObservation,Hippocampus,0.0357781005645268
102,MDTB,ActionObservation,Null Model,0.055379271615319796
103,MDTB,ActionObservation,Pallidus,0.20127356490321754
104,MDTB,ActionObservation,Putamen,0.14759556629771464
105,MDTB,ActionObservation,Thalamus,0.47465566256407093
106,MDTB,ActionObservation,Uniformed Evoked Model,-0.03593471946766423
107,MDTB,AnimatedMovie,7Networks_LH_Cont_Cing_1,0.08475085794097663
108,MDTB,AnimatedMovie,7Networks_LH_Cont_PFCl_1,0.18224495196145463
109,MDTB,AnimatedMovie,7Networks_LH_Cont_Par_1,0.22643048515677344
110,MDTB,AnimatedMovie,7Networks_LH_Cont_pCun_1,0.2865112390296958
111,MDTB,AnimatedMovie,7Networks_LH_Default_PFC_1,0.08385285527359916
112,MDTB,AnimatedMovie,7Networks_LH_Default_PFC_2,0.11097525327533389
113,MDTB,AnimatedMovie,7Networks_LH_Default_PFC_3,0.08820947554646888
114,MDTB,AnimatedMovie,7Networks_LH_Default_PFC_4,0.14079287177789604
115,MDTB,AnimatedMovie,7Networks_LH_Default_PFC_5,0.07344259972771858
116,MDTB,AnimatedMovie,7Networks_LH_Default_PFC_6,0.1317248993020003
117,MDTB,AnimatedMovie,7Networks_LH_Default_PFC_7,0.10339903112335543
118,MDTB,AnimatedMovie,7Networks_LH_Default_Par_1,0.08316367780629202
119,MDTB,AnimatedMovie,7Networks_LH_Default_Par_2,0.14222990746257835
